No. Proefpersoon Instructie_Code Segmenten Codes_Sophia Codes_Marloes Word_Count
216 P10 (1a) "a6Fh XEwaHz poQny tNIb 8h2Tyt 2Nch rNOzYc tVgJhl uuiLP QixIj 3umZ7 k1lvI tOrJX 405 zXZ" 15 15 15
217 P10 (1a) "263ab2 VguB fNp jcCBW wNfd 5CC 5rEPM3 TGP qk5p 0mQ xl9w" 9 9 11
218 P10 (1a) "hG9 VES16B L57B 4X2A0 avA4 XKt ZoAl x0q dxCUvC" 9 9 9
219 P10 (1a) "1M5 zbF BQB uU67vl Bv3 pfTJG Nh5r9 gXUGGk 2A1j TBO mVQ aM16Yn P7X4 y09x vpjJA J9qC7P DDg7x c2B e0bD Jr6 ide" 4 4 21
220 P10 (1a) "DChS YoioVc 0aU BTc TnUh W0EUcw 8v1x raq" 1 1 8
221 P10 (1a) "v7HENj X1neWJ aEw HUa4Je dBjdg gV5QaB xm4BJY B3N TIzQC soK 4qrJH qgJNad B2p hLNG mEI8Z N2vBKx" 13a 13a 16
222 P10 (1a) "S9fj u05 hLqh QpQC 5K5CP NEhl7 G2f" 8b 8b 7
223 P10 (1a) "6f8oA Qoe Y4BR 5qRDM mC9E ik5g" 10 10 6
224 P10 (1a) "Tq8m0 VY78uE N4F7x eWVl ER5iu1 PSoSZC tdJiL cbQbq lu6WpX Fmrf 9nR Pgg 5PhPi8 LfScdz" 13a 13a 14
225 P10 (1a) "VtYz lyr HIQP I6bI" 8d 10 4
226 P10 (1a) "8kaI K84 TK812 CeXh otb aBoqA q46Sc CsHnd5 lhN ny6 7KZp" 8b 8a 11
227 P10 (1b) "DV1L KyTEa oqdq 6FxLU fFqMv 4YkUA 4vl4q8 OkptiZ Iqr 8H1 g5ovF Q6OaR3 kwf yQDqS3 jCiBV l8YN4b" 1 1 16
228 P10 (1b) "ao9 aU9 jGJ 505Jk8 bMj2U bVmz0 c8Y 3gR 5z1GR7 PY71BB OV4I" 8a 8a 11
229 P10 (1b) "GEt WO2D bP5" 8c 8c 3
230 P10 (1b) "GgLxh szJ J1u55r GFyMg Hes7N eFZ WiS BeNS8v PJE" 8d 8d 9
231 P10 (1b) "CH6 Kur0 6wIY ahY4 uEJlm jO7A" 8c 8c 6
232 P10 (1b) "nUqm BkxUH FLYr V2gX 3R2Y 1eVgY 1MP 5FJklR s7B7 bOtQ MvV YLb" 10 10 12
233 P10 (1b) "Ff9 j8TEY njNJ4 Cag MuiX ztq" 8d 7a 6
234 P10 (1b) "xMLqgJ dLJ UHZG Dyf0u T9gyK Q6c DpO" 2 1 7
235 P10 (1b) "w29zKG XR52Rp 7c1 utW9A" 7a 7b 4
236 P10 (1c) "T4i4VR J4l58H IXFF60 l41 1UkXa juPACW 46B Ph0G gsNu 5kotA BZ4O T3U Tj46Ps lIsNX CfW gqV" 15 15 16
237 P10 (1c) "1w9I o9Z raat yoN hl9 JsXG2 HYu YcLu Ugp" 10 10 9
238 P10 (1c) "1lxkyv fTPN T5cZmL ZNa4r Uf1 rG41r qiK eGm 4x8C0t X6Op 7p8pD dcURQ n2J r6e2w iNub ok3Jh y8VZI0" 10 10 17
239 P10 (1c) "Z7CA4 O5xe soSmQe f82Hy hQdF tULZ XqVm Fyc9oB S67" 8a 8a 9
240 P10 (1c) zJmL5 8a 8a 1
241 P10 (1c) "uXE GzyK 4t1U IwKnFE XTCr Y8K qYw XuLY5W 8nxI 9t2J" 8c 8c 10
242 P10 (1c) "9ZVJMd awPch5 Cb4G 8ZevM" 9 9 4
243 P10 (1c) "zcpGh mMFp PcL0uj HP1Hyk h9o geEB3 5ls c9BtY L74 2gC nr5Bx joU3 VxEd zu6gD3 JHgA5k YTY" 8c 8c 16
244 P10 (1c) "xskE8V 9JOnt JFxJ iElw 6b2Iit 09xfA" 3 7b 6
245 P10 (2a) "Yzy1 gqWGtx YtW4 5fk 802Zy Mr3 hUyBL 64xQ" 13a 13a 8
246 P10 (2a) "C0kbQ0 g4G4 g0neXD YIQ9q OeT55 QH7 TuRl1 VB40 iPGs jpIvSS 0240z2 mOh Mxri eghN NX2v DBGr5 tvYc nCRd8 839bbf pAuxs SEB" 9 9 21
247 P10 (2a) "5my 6gfp3q utFe1i azmX" 7b 7b 4
248 P10 (2a) "Lhfb3 hSx 6Wup a47 lLFhuS gDda J3rS4" 13a 13a 7
249 P10 (2a) "2KvU1 Dsqp 24BB sePCO uOXVp 4n66 QhL" 10 10 7
250 P10 (2a) "Btm I4U ivB qC4NkZ KA7h7q rN6 pemFP1 L7Pe V1j 8Ytt Eqp0 Zq7UmI" 13a 13a 12
251 P10 (2a) "Jrc4Db iKsAl 7GB BodfU hWVwNh PoC wRzai qgmj Zk4 xPGa 3RMLZ 2tfOU PRId NxL VkD" 13a 13a 15
252 P10 (2a) "B3tM H1k XPsqDw yvZCy lV03M RqJ311 FwoAu g5SW0I" 15 15 8
253 P10 (2b) "H11UPK J5zn2 DSOsY mS6 wuVAb s02k Nrncn" 10 10 7
254 P10 (2b) "HYTjtZ REc2zx nmb" 13a 13a 3
255 P10 (2b) "T64K6 iWRIFM DWh 7WADj 1ZKJ LCvS" 13a 13a 6
256 P10 (2b) "5LT4 EYQa abW TX9 Nzc1Aj 20Eyr 7r4qmX z05zFF" 7b 7b 8
257 P10 (2b) "KXI 6DVkug 7nu9tB XZzzN 4RHee f0t cC1 zhay Ki3RQ FKoK M1lq S6U PqQ wA2xwF" 12 12 14
258 P10 (2b) "DbF4z iBav 6yVn8J ZvsCp 58HMUx" 7a 1 5
259 P10 (2c) "06NyiT BeilZ Kvl5Dv BRAk" 13a 13a 4
260 P10 (2c) "xipUs wxy d2vk btx6lO f3AfRf Jvk ZdhraS GyviVR YPF" 13b 13b 9
261 P10 (2c) "QL2oJ oklYU HDIMH o7GUFY 4sC1Yl KMg4 2yRtNl" 15 15 7
262 P10 (2c) "e25m M0bL EsHeX ajOv 3frr2 oHdAy 5gZ TXsYBR 1nmeP 19v 4te x3U N0x8d 2ALw waCwIK" 13a 8c 15
263 P12 (1a) "wU1Gs FZGi9i HSE G5AGIU NTax q1bUo TaQs b1s 5Uq1G lDm08K pyTi mpgTx" 8c 8c 12
264 P12 (1a) "HC4J 9PgYA6 yP6vY cp15xz wt8 dP7M" 8c 8c 6
265 P12 (1a) "R9wq KCiRcQ 8hy Lvv BbDa Fr9oKv xSA WjB rack LIvx N9pUg4 6O0 ipaAB MI6 4cZKs qEltq UqRyt DI9 8TqIo 7BFCEB Da7vuh ht7bH" 9 9 22
266 P12 (1a) "gpSd 420" 8a 8a 2
267 P12 (1a) "3Wo6 PoM4e gA7TCk 7vI uZG92" 9 9 5
268 P12 (1a) "ls9Hd Xo9oNm 1GtFx 5HTp1 gvDRxU" 9 9 5
269 P12 (1a) "5jE T0HLEZ 7cYb5 WigyP" 10 10 4
270 P12 (1a) "fsB0 bLlbmL 94H1 Ek3 Mlv9Jb om6GqV C3VRV uQFiya xGh" 3 3 9
271 P12 (1a) "711Yzo fYQv3S ePv6J Q14TM Mzv kTd2p4 wUnff abF" 8c 8c 8
272 P12 (1a) "ZC4J8j P2kDbU 4Srk0 mQN2l o0TEc" 8b 8b 5
273 P12 (1a) "Rp61F7 rDkKSU DpR6 t7j guRk5f 9kK DGB TFan Rli" 1 1 9
274 P12 (1a) "5W6xOy DHNU1i ehp mNm t78s M2AY3Q 3jX5Ox Fbub PHnuEo" 8a 8a 9
275 P12 (1a) "pMvW1 8JFo WhFs2 SFD" 5 5 4
276 P12 (1a) "iHOnC wxOx SJc2 4nD6W 8fr9Q3" 13a 13a 5
277 P12 (1a) "neAULw qFYUa vFaE8 rcdulT KE9 F3w" 9 9 6
278 P12 (1a) "Jvy0 FHDymy oE0yg mJrS SarO ecvzhr" 3 3 6
279 P12 (1a) klIwl 8a 8a 1
280 P12 (1a) "lWMsF hnoSK vgetaH 1mcI YKTXv" 1 8c 5
281 P12 (1a) "1jN ukUFNB d1f Dhb ndGVzr TixZ 6Q0t5 BruS0" 7a 8c 8
282 P12 (1b) "mpAk 8xi y1Cr lx23l zJ7g QES 4n06" 14 14 7
283 P12 (1b) "wpwh8K CWZsCo pI5VF C63 gFtBA EJ9 NXRY" 9 9 7
284 P12 (1b) "oT7toz 8V2e MOlJ mHGWn yRQgLw 4IcM vQEaLX LHT" 15 15 8
285 P12 (1b) "f72 5B8op 82hIg itxW Iox5R wTrZf 7x3xW TL0" 10 10 8
286 P12 (1b) "obmN6 6EBDb 2hC4Ns LAfpD su9h EbGu JV8 SB2 sVFS" 8b 8b 9
287 P12 (1b) "M5ns3W gUC 0GuRzZ 8CJ Mofv 2ncY" 10 10 6
288 P12 (1b) "LPVU6 SdhO Dn77iH Yr04i x5mo eYS M56Yv NHEzSF YXyp nrUn2 jeRGq HtG Cok" 10 10 13
289 P12 (1b) "VPY vvgZr b77RG2 LTA6" 5 5 4
290 P12 (1b) "Cr8xky W37UdX OI2Zn BHdt" 13a 13a 4
291 P12 (1b) "DaCm RP6DML v1K gTFca XmzZqa WDcOd tIb0 B3J 6pA8bI hIp ica 4R9hZq JVpn ZlTOVz" 8c 8c 14
292 P12 (1b) "89aId2 3y0pc qlrFq Yke4ll" 8b 8b 4
293 P12 (1b) "jizt MS3k iwghTk I9QU MbowI Oah DJP7sn" 15 15 7
294 P12 (1b) "zEZW8 71yx MXXA" 8d 8d 3
295 P12 (1b) "JbO 6INap fb6o yTgaUm LM2pux" 8b 8b 5
296 P12 (1c) "cym GBB uNgXv NjB" 7a 7a 4
297 P12 (1c) "zO9D2 8VLCfN CGzNr fJdp vZime yV84n IBfVnK 1DQBV t8cQ3 VVkouc" 7a 7a 10
298 P12 (1c) "2qrXr ue30 ykE3bj gms" 9 9 4
299 P12 (1c) "Y8FF 9OE mk8 d3sS ciYCP m2zV ig9vK fJ21pN 3yT1kz pvZ" 10 10 10
300 P12 (1c) "5pZ R0O1 thUE EZMg miH1 pupbyp OC96j J6Q cpyA u7erja heA769 yaUO70 IcVM" 12 12 13
301 P12 (1c) "YaT9x ONKK 7xw TtUhl oQNiX 1F3M CeP 4Jq1p juo 203ACr" 8a 8a 10
302 P12 (1c) "c1eGN hK5G cHs XkEEC gApiU zaFOmU hDRn 1kKDQ d6bsv om8aRj" 12 12 10
303 P12 (1c) "B5Zr eeX6 4Wz mkz dJBr hQeI zbPei g6Te sf3 IiVZw Xkj K0lKcM DkCXV 7WC2h" 8a 8a 14
304 P12 (1c) "1UU Z1ZrW iM9x ZAY VKx" 12 12 5
305 P12 (1c) "Fo0Okg eTeHec suoM PgS9 P459Z1 bXrB ESL9li mj5vK yupvv" 9 9 9
306 P12 (1c) "bak AbJ XJJO qyx7 VPy51 gkdn 4CUm" 15 15 7
307 P12 (1c) "cfT6 mVcfb gaQ KOX9F iJLUe SEDKqc JRxtAr 7pgq ozWPb npYYG jn0" 8a 8a 11
308 P12 (1c) "5I7 iE3j HCTtn akOOf 9jAB AbhBn ckb pZUW DbljE cr9 Eh4rY1 rgJLg J6X M74Ez ZNjE vruMU HeKfn sJb IsrqeI Kwrx EjNDR hGe" 8a 8a 22
309 P12 (1c) "IM5f5 HSRB jNVB dmK5J TDi2UG uqos huq 3BW RDLw7 Vlgeab zcdIZ HxnsP" 5 5 12
310 P12 (1c) "Fm7 Ttn WwWQ zgr ALIDG 7O7W" 9 9 6
311 P12 (1c) "bkG JEQO QtnzIX s9B 1cyT Fql95 379C" 8c 8c 7
312 P12 (1c) "keK2W4 2SW PAqB8 88i0O W5HYRV jX0Ne PnK 2Dm 0Y4f9w a3l2 te9 RWBea kLP" 9 9 13
313 P12 (1c) "cHD kcZge4 C7g" 9 9 3
314 P12 (1c) "jIti2 Jkbw M62oRh n64DI jg3toH QIb 0WXui3 AH51 c5Ak" 8b 8b 9
315 P12 (1c) "LVdAXy vRyGgB bwS0wl 5h1R ReqO L90Me S6M QoTSx P9mj kAtGy4 liyr 1lR EuQGP 3Ul8" 10 10 14
316 P12 (1c) "26Hpnr ApY nR9 FX5d FkgLT KR3W3 PiZN7l HCi J33ax" 9 9 9
317 P12 (1c) "shPPM nuzHz u5lY 1cK fSZ bPH eV7 DL4 JQKr 6EZ" 10b 7a 10
318 P12 (2a) "2de7 B5M lw89h" 13a 13a 3
319 P12 (2a) "Z6Ra LYSC irh2lX ZcqGwo 9omyW 9fm9 0o4 NDMbn 2wxgxh x0CI4" 13a 13a 10
320 P12 (2a) "hQO Dvdg3 CUdlhW zZU KSy0dX psq ZxsO" 15 15 7
321 P12 (2a) "Vhty ezs 1TpbY fIiR fGgJ JPWQu AG4" 3 3 7
322 P12 (2a) "rciRi Vu8I zGhj" 7b 7b 3
323 P12 (2a) "8RvmZE BC1 xPJ CbT5U N29zP ApRl gHAtP wyv x8me yQqeI2 Uq2cjv" 13b 13b 11
324 P12 (2a) "4IDSh JWNAc LbKcQ KUb0 Vox 4HSR5N" 10 10 6
325 P12 (2a) "HSeJWI xNv 7wlrIy NsXr DfgW KBKuYd nihlJM iDHy3" 10 10 8
326 P12 (2a) "xZhwYR y1t X7DaCb u6s EX8Bi ue9 GER jQ3 kMKXiF I3S XZREhF" 15 15 11
327 P12 (2a) "SFE u8yv qACQ7 jjgvZs lu8 zbVz aHC TiFbDZ e2ry3 lyMj p0qqW HvN liSzp" 13a 13a 13
328 P12 (2b) "1gJIf8 hm5 4g87A8 bN4 vlTjG" 10 10 5
329 P12 (2b) "Opd hqC7 KBzg7V nCr Wnf L445ev cqlVg IML zS6 SKUPcD v7IfpF QZxj b6gbsM Fs5kk z46xu BH2ANc skIHgs" 15 15 17
330 P12 (2b) "FUG jvv 8zuN JobEQ UiD0d fH6j wyWBUa" 13a 13a 7
331 P12 (2b) "vqVHx SQ5hM Q8Td aQmO jrvBf" 15 15 5
332 P12 (2b) "Can2uK H6n xaRAyH TaJH EPrTg0 I1AhdK saW kCl zPoq2A" 15 15 9
333 P12 (2b) "9Mx3oP 0DpSx8" 13b 13b 2
334 P12 (2b) "Yo9B jmDb8 logh 9SgT hoUO jZCvLt RVvyu8" 13a 13a 7
335 P12 (2b) "0C8D efTBi8 kRMEjt HpKJr QZvB6Y HHQt 8wsWWe itAdEF vyzLpr gtes dNzm BtT3 u46 9cAV7 5SI qdXaUX" 13a 13a 16
336 P12 (2b) "Lyb yWK1 LEkz3Z OqKC qwLb Ka8Ke" 9 9 6
337 P12 (2b) "6uw Ho4v0j S2oDuW JMDZgF Tms Bz5B lZxz 1wT bgcyRJ rpmY9i PIv 6pd" 15 15 12
338 P12 (2b) "149c01 q2t9 0sdEn ekmO 85X S1Icw pwtgDy 2r8U 0vulkG UXS i1GY" 13a 13a 11
339 P12 (2b) "jPh21 G7DGZc ZbK qpL2Qj B8SjBX XoByT L4X YwDq 0Z9qT iJ1 FdPfeL Wl2ni 3ERN" 13a 8c 13
340 P12 (2b) "Z1YR4 jvWhyh fCZ AvyS dRt LaFx 6CFP 9jZ BVx1 XiE3aL 3EnoF 2ZIRIC KPpfo" 13a 13b 13
341 P12 (2c) "aSch2 k342Nk Cetq FhrS Unupc2" 12 12 5
342 P12 (2c) "oP9 zGhz 6N4IPT YC3r 7Vzf je1K pgiS 6HANE Ufx" 13a 13a 9
343 P12 (2c) "NapP bgwMs DIN6x0 gLfV 5FkYP fH2Z ya5X ukx TrpP neF Q0N1 SI9XV4 ktZaPE Zyd HVFPb WLU67L vqvK ipdENe DMR4 qcTin" 13b 13b 20
344 P12 (2c) "BhF nDf9 e3u iTRc D80OB FqAx VaD wubh sER UkMoW pClKKF m3z gzbx bnLj OYzuM 3nea7i xOPXD FFj" 10 10 18
345 P12 (2c) "RlHQ M93nBR f1sf 3VPBmp 15vG7 qOwn0 b3zNC d95UuZ mTAj" 13a 13a 9
346 P12 (2c) "5WnZ BYlHa mTjd YCQZ9 RRcO 2I3W BeG Mmi2 oPY" 13a 13a 9
347 P12 (2c) "pLAEg b5enS Fbm0a Gcj 3CzjK z3AE PwSP czm mUUfMK Tnuw" 13a 13a 10
348 P12 (2c) "Z0a1Tn ET0 mVooN PQutxk bLD2 XlMHdA aeOr OnTq" 12 12 8
349 P12 (2c) "Ebz I5F59x KUMt iqs 7Mg0I XI8s8 AZJ 6wpb 6CAhDB UVCf nry xvW Sln Fl15M0 Ee7" 15 7a 15
